after_task,step,eval_task,acc
0,24,0,0.000000
0,24,1,0.000000
0,24,2,0.000000
0,24,3,0.000000
0,24,4,0.000000
0,24,5,0.000000
0,24,6,0.000000
0,24,7,0.000000
0,24,8,0.000000
0,24,9,0.000000
0,24,10,0.000000
0,24,11,0.000000
0,24,12,0.000000
0,24,13,0.000000
0,24,14,0.000000
0,24,15,0.000000
0,24,16,0.000000
0,24,17,0.000000
0,24,18,0.000000
0,24,19,0.000000
0,24,20,0.000000
0,24,21,0.000000
0,24,22,0.000000
0,24,23,0.000000
0,24,24,0.000000
0,24,25,0.000000
0,24,26,0.000000
0,24,27,0.000000
0,24,28,0.000000
0,24,29,0.000000
0,24,30,0.000000
0,24,31,0.000000
0,24,32,0.000000
0,24,33,0.000000
0,24,34,0.000000
0,24,35,0.000000
0,24,36,0.000000
0,24,37,0.000000
0,24,38,0.000000
0,24,39,0.000000
0,24,40,0.000000
0,24,41,0.000000
0,24,42,0.000000
0,24,43,0.000000
0,24,44,0.000000
0,24,45,0.000000
0,24,46,0.000000
0,24,47,0.000000
0,24,48,0.000000
0,24,49,0.000000
0,24,50,0.000000
0,24,51,0.000000
0,24,52,0.000000
0,24,53,0.000000
0,24,54,0.000000
0,24,55,0.000000
0,24,56,0.000000
0,24,57,0.000000
0,24,58,0.000000
0,24,59,0.000000
0,24,60,0.000000
0,24,61,0.000000
0,24,62,0.000000
0,24,63,0.000000
0,24,64,0.000000
0,24,65,0.000000
0,24,66,0.000000
0,24,67,0.000000
0,24,68,0.000000
0,24,69,0.000000
0,24,70,0.000000
0,24,71,0.000000
0,24,72,0.000000
0,24,73,0.000000
0,24,74,0.000000
0,24,75,0.000000
0,24,76,0.000000
0,24,77,0.000000
0,24,78,0.000000
0,24,79,0.000000
0,24,80,0.000000
0,24,81,0.000000
0,24,82,0.000000
0,24,83,0.000000
0,24,84,0.000000
0,24,85,0.000000
0,24,86,0.000000
0,24,87,0.000000
0,24,88,0.000000
0,24,89,0.000000
0,24,90,0.000000
0,24,91,0.000000
0,24,92,0.000000
0,24,93,0.000000
0,24,94,0.000000
0,24,95,0.000000
0,24,96,0.000000
0,24,97,0.000000
0,24,98,0.000000
0,24,99,0.000000
0,24,100,0.000000
0,24,101,0.000000
0,24,102,0.000000
0,24,103,0.000000
0,24,104,0.000000
0,24,105,0.000000
0,24,106,0.000000
0,24,107,0.000000
0,24,108,0.000000
0,24,109,0.000000
0,24,110,0.000000
0,24,111,0.000000
0,24,112,0.000000
0,24,113,0.000000
0,24,114,0.000000
0,24,115,0.000000
0,24,116,0.000000
0,24,117,0.000000
0,24,118,0.000000
0,24,119,0.000000
0,24,120,0.000000
0,24,121,0.000000
0,24,122,0.000000
0,24,123,0.000000
0,24,124,0.000000
0,24,125,0.000000
0,24,126,0.000000
0,24,127,0.000000
0,24,128,0.000000
0,24,129,0.000000
0,24,130,0.000000
0,24,131,0.000000
0,24,132,0.000000
0,24,133,0.000000
0,24,134,0.000000
0,24,135,0.000000
0,24,136,0.000000
0,24,137,0.000000
0,24,138,0.000000
0,24,139,0.000000
0,24,140,0.000000
0,24,141,0.000000
0,24,142,0.000000
0,24,143,0.000000
0,24,144,0.000000
0,24,145,0.000000
0,24,146,0.000000
0,24,147,0.000000
0,24,148,0.000000
0,24,149,0.000000
0,24,150,0.000000
0,24,151,0.000000
0,24,152,0.000000
0,24,153,0.000000
0,24,154,0.000000
0,24,155,0.000000
0,24,156,0.000000
0,24,157,0.000000
0,24,158,0.000000
0,24,159,0.000000
0,24,160,0.000000
0,24,161,0.000000
0,24,162,0.000000
0,24,163,0.000000
0,24,164,0.000000
0,24,165,0.000000
0,24,166,0.000000
0,24,167,0.000000
0,24,168,0.000000
0,24,169,0.000000
0,24,170,0.000000
0,24,171,0.000000
0,24,172,0.000000
0,24,173,0.000000
0,24,174,0.000000
0,24,175,0.000000
0,24,176,0.000000
0,24,177,0.000000
0,24,178,0.000000
0,24,179,0.000000
0,24,180,0.000000
0,24,181,0.000000
0,24,182,0.000000
0,24,183,0.000000
0,24,184,0.000000
0,24,185,0.000000
0,24,186,0.000000
0,24,187,0.000000
0,24,188,0.000000
0,24,189,0.000000
0,24,190,0.000000
0,24,191,0.000000
0,24,192,0.000000
0,24,193,0.000000
0,24,194,0.000000
0,24,195,0.000000
0,24,196,0.000000
0,24,197,0.000000
0,24,198,0.000000
0,24,199,0.000000
0,24,200,0.000000
0,24,201,0.000000
0,24,202,0.000000
0,24,203,0.000000
0,24,204,0.000000
0,24,205,0.000000
0,24,206,0.000000
0,24,207,0.000000
0,24,208,0.000000
0,24,209,0.000000
0,24,210,0.000000
0,24,211,0.000000
0,24,212,0.000000
0,24,213,0.000000
0,24,214,0.000000
0,24,215,0.000000
0,24,216,0.000000
0,24,217,0.000000
0,24,218,0.000000
0,24,219,0.000000
0,24,220,0.000000
0,24,221,0.000000
0,24,222,0.000000
0,24,223,0.000000
0,24,224,0.000000
0,24,225,0.000000
0,24,226,0.000000
0,24,227,0.000000
0,24,228,0.000000
0,24,229,0.000000
0,24,230,0.000000
0,24,231,0.000000
0,24,232,0.000000
0,24,233,0.000000
0,24,234,0.000000
0,24,235,0.000000
0,24,236,0.000000
0,24,237,0.000000
0,24,238,0.000000
0,24,239,0.000000
0,24,240,0.000000
0,24,241,0.000000
0,24,242,0.000000
0,24,243,0.000000
0,24,244,0.000000
0,24,245,0.000000
0,24,246,0.000000
0,24,247,0.000000
0,24,248,0.000000
0,24,249,0.000000
0,24,250,0.000000
0,24,251,0.000000
0,24,252,0.000000
0,24,253,0.000000
0,24,254,0.000000
0,24,255,0.000000
0,24,256,0.000000
0,24,257,0.000000
0,24,258,0.000000
0,24,259,0.000000
0,24,260,0.000000
0,24,261,0.000000
0,24,262,0.000000
0,24,263,0.000000
0,24,264,0.000000
0,24,265,0.000000
0,24,266,0.000000
0,24,267,0.000000
0,24,268,0.000000
0,24,269,0.000000
0,24,270,0.000000
0,24,271,0.000000
0,24,272,0.000000
0,24,273,0.000000
0,24,274,0.000000
0,24,275,0.000000
0,24,276,0.000000
0,24,277,0.000000
0,24,278,0.000000
0,24,279,0.000000
0,24,280,0.000000
0,24,281,0.000000
0,24,282,0.000000
0,24,283,0.000000
0,24,284,0.000000
0,24,285,0.000000
0,24,286,0.000000
0,24,287,0.000000
0,24,288,0.000000
0,24,289,0.000000
0,24,290,0.000000
0,24,291,0.000000
0,24,292,0.000000
0,24,293,0.000000
0,24,294,0.000000
0,24,295,0.000000
0,24,296,0.000000
0,24,297,0.000000
0,24,298,0.000000
0,24,299,0.000000
0,24,300,0.000000
0,24,301,0.000000
0,24,302,0.000000
0,24,303,0.000000
0,24,304,0.000000
0,24,305,0.000000
0,24,306,0.000000
0,24,307,0.000000
0,24,308,0.000000
0,24,309,0.000000
0,24,310,0.000000
0,24,311,0.000000
0,24,312,0.000000
0,24,313,0.000000
0,24,314,0.000000
0,24,315,0.000000
0,24,316,0.000000
0,24,317,0.000000
0,24,318,0.000000
0,24,319,0.000000
0,24,320,0.000000
0,24,321,0.000000
0,24,322,0.000000
0,24,323,0.000000
0,24,324,0.000000
0,24,325,0.000000
0,24,326,0.000000
0,24,327,0.000000
0,24,328,0.000000
0,24,329,0.000000
0,24,330,0.000000
0,24,331,0.000000
0,24,332,0.000000
0,24,333,0.000000
0,24,334,0.000000
0,24,335,0.000000
0,24,336,0.000000
0,24,337,0.000000
0,24,338,0.000000
0,24,339,0.000000
0,24,340,0.000000
0,24,341,0.000000
0,24,342,0.000000
0,24,343,0.000000
0,24,344,0.000000
0,24,345,0.000000
0,24,346,0.000000
0,24,347,0.000000
0,24,348,0.000000
0,24,349,0.000000
0,24,350,0.000000
0,24,351,0.000000
0,24,352,0.000000
0,24,353,0.000000
0,24,354,0.000000
0,24,355,0.000000
0,24,356,0.000000
0,24,357,0.000000
0,24,358,0.000000
0,24,359,0.000000
0,24,360,0.000000
0,24,361,0.000000
0,24,362,0.000000
0,24,363,0.000000
0,24,364,0.000000
0,24,365,0.000000
0,24,366,0.000000
0,24,367,0.000000
0,24,368,0.000000
0,24,369,0.000000
0,24,370,0.000000
0,24,371,0.000000
0,24,372,0.000000
0,24,373,0.000000
0,24,374,0.000000
0,24,375,0.000000
0,24,376,0.000000
0,24,377,0.000000
0,24,378,0.000000
0,24,379,0.000000
0,24,380,0.000000
0,24,381,0.000000
0,24,382,0.000000
0,24,383,0.000000
0,24,384,0.000000
0,24,385,0.000000
0,24,386,0.000000
0,24,387,0.000000
0,24,388,0.000000
0,24,389,0.000000
0,24,390,0.000000
0,24,391,0.000000
0,24,392,0.000000
0,24,393,0.000000
0,24,394,0.000000
0,24,395,0.000000
0,24,396,0.000000
0,24,397,0.000000
0,24,398,0.000000
0,24,399,0.000000
0,24,400,0.000000
0,24,401,0.000000
0,24,402,0.000000
0,24,403,0.000000
0,24,404,0.000000
0,24,405,0.000000
0,24,406,0.000000
0,24,407,0.000000
0,24,408,0.000000
0,24,409,0.000000
0,24,410,0.000000
0,24,411,0.000000
0,24,412,0.000000
0,24,413,0.000000
0,24,414,0.000000
0,24,415,0.000000
0,24,416,0.000000
0,24,417,0.000000
0,24,418,0.000000
0,24,419,0.000000
0,24,420,0.000000
0,24,421,0.000000
0,24,422,0.000000
0,24,423,0.000000
0,24,424,0.000000
0,24,425,0.000000
0,24,426,0.000000
0,24,427,0.000000
0,24,428,0.000000
0,24,429,0.000000
0,24,430,0.000000
0,24,431,0.000000
0,24,432,0.000000
0,24,433,0.000000
0,24,434,0.000000
0,24,435,0.000000
0,24,436,0.000000
0,24,437,0.000000
0,24,438,0.000000
0,24,439,0.000000
0,24,440,0.000000
0,24,441,0.000000
0,24,442,0.000000
0,24,443,0.000000
0,24,444,0.000000
0,24,445,0.000000
0,24,446,0.000000
0,24,447,0.000000
0,24,448,0.000000
0,24,449,0.000000
0,24,450,0.000000
0,24,451,0.000000
0,24,452,0.000000
0,24,453,0.000000
0,24,454,0.000000
0,24,455,0.000000
0,24,456,0.000000
0,24,457,0.000000
0,24,458,0.000000
0,24,459,0.000000
0,24,460,0.000000
0,24,461,0.000000
0,24,462,0.000000
0,24,463,0.000000
0,24,464,0.000000
0,24,465,0.000000
0,24,466,0.000000
0,24,467,0.000000
0,24,468,0.000000
0,24,469,0.000000
0,24,470,0.000000
0,24,471,0.000000
0,24,472,0.000000
0,24,473,0.000000
0,24,474,0.000000
0,24,475,0.000000
0,24,476,0.000000
0,24,477,0.000000
0,24,478,0.000000
0,24,479,0.000000
0,24,480,0.000000
0,24,481,0.000000
0,24,482,0.000000
0,24,483,0.000000
0,24,484,0.000000
0,24,485,0.000000
0,24,486,0.000000
0,24,487,0.000000
0,24,488,0.000000
0,24,489,0.000000
0,24,490,0.000000
0,24,491,0.000000
0,24,492,0.000000
0,24,493,0.000000
0,24,494,0.000000
0,24,495,0.000000
0,24,496,0.000000
0,24,497,0.000000
0,24,498,0.000000
0,24,499,0.000000
