round,test_acc_pct,test_loss,round_time_s
102,,,26.5439
101,,,28.3004
103,,,28.2362
102,,,24.3653
104,,,27.0783
103,,,22.8667
105,,,24.4616
104,,,28.3694
106,,,26.2440
105,,,28.6270
107,,,22.2031
108,,,18.8202
106,,,28.4511
109,,,28.0135
107,,,29.0139
110,,,28.3759
108,,,28.6679
111,,,28.5577
109,,,29.7276
112,,,28.2923
110,,,29.8794
113,,,27.8459
111,,,28.5283
114,,,28.4230
112,,,27.5009
115,,,28.9623
113,,,26.3073
116,,,27.6143
114,,,23.4641
117,,,28.4472
115,,,29.1688
118,,,28.2625
116,,,29.2908
119,,,28.5609
117,,,29.2774
120,,,28.4183
118,,,30.4794
121,,,28.6991
119,,,31.6616
122,,,28.1660
120,,,30.1439
123,,,28.3245
121,,,28.8739
124,,,23.4345
122,,,30.9902
125,,,25.2368
123,,,27.7136
126,,,26.0312
124,,,28.9195
127,,,28.5338
125,,,26.3059
128,,,27.8801
129,,,28.9051
126,,,32.8216
130,,,26.3311
127,,,30.3686
131,,,19.0524
128,,,20.6970
132,,,27.3670
129,,,29.6051
133,,,24.0346
130,,,24.9107
134,,,25.9533
131,,,27.5992
135,,,28.0510
132,,,28.9802
136,,,28.5043
133,,,24.7182
137,,,26.7060
134,,,29.5505
138,,,26.5997
135,,,23.5069
139,,,28.3186
136,,,24.9560
140,,,28.4611
137,,,29.6867
141,,,23.0888
138,,,27.6583
142,,,28.8231
139,,,32.3349
143,,,28.3439
140,,,30.7249
144,,,25.7616
141,,,23.6229
145,,,26.2960
142,,,28.9311
146,,,23.5391
143,,,24.1484
147,,,22.0308
148,,,22.3689
144,,,28.2996
149,,,24.2456
145,,,28.8395
150,,,24.9025
146,,,26.6323
151,,,22.3040
147,,,28.7583
152,,,20.7379
153,,,16.9700
148,,,28.6093
154,,,24.9759
149,,,28.5095
155,,,24.4801
150,,,29.4224
156,,,26.3674
151,,,29.5829
157,,,24.9235
152,,,30.7477
158,,,25.7769
153,,,21.9899
159,,,25.8275
154,,,27.9113
160,,,26.1464
161,,,20.4515
155,,,24.3304
156,,,26.0843
162,,,28.4748
157,,,22.1227
163,,,26.5597
158,,,29.1240
164,,,28.6044
159,,,27.5967
165,,,28.3428
160,,,24.4032
166,,,28.3628
161,,,23.7249
167,,,26.9138
162,,,28.9327
168,,,28.2754
163,,,28.6486
169,,,27.8502
164,,,21.7907
170,,,28.1875
165,,,28.7153
171,,,28.6449
166,,,29.0038
172,,,27.1620
167,,,29.3273
173,,,28.3525
168,,,29.3567
174,,,27.9876
169,,,28.7626
175,,,27.6989
170,,,24.9451
176,,,27.8713
171,,,29.1564
177,,,27.4534
172,,,21.0623
178,,,26.8115
173,,,28.1909
179,,,20.9553
174,,,26.7096
180,,,22.6933
175,,,29.2120
181,,,25.2196
176,,,27.3346
182,,,28.2298
177,,,29.0523
183,,,28.3258
178,,,29.4034
184,,,28.4374
179,,,28.2345
185,,,27.9397
180,,,29.3397
186,,,28.5077
181,,,30.9476
187,,,28.5862
182,,,23.7873
188,,,25.6798
183,,,28.9775
189,,,28.4141
184,,,23.4492
190,,,22.6881
191,,,21.9923
185,,,24.6783
192,,,20.4270
186,,,26.2532
193,,,26.3172
187,,,19.6114
188,,,21.6323
194,,,23.1644
189,,,20.9771
195,,,27.3022
190,,,25.5058
196,,,22.1680
191,,,25.2975
197,,,23.8897
198,,,16.9527
192,,,22.8279
199,,,28.1671
193,,,29.1003
200,,,23.8571
194,,,28.6674
201,,,27.9581
195,,,19.8957
202,,,28.8655
196,,,30.0412
203,,,28.3167
197,,,29.6179
204,,,27.3691
198,,,26.2082
205,,,27.4284
199,,,29.4203
206,,,22.0940
200,,,29.7246
207,,,23.2257
201,,,29.0923
208,,,22.5070
202,,,27.4773
209,,,28.0773
203,,,24.4768
210,,,18.8698
211,,,22.1596
204,,,28.7956
212,,,23.1311
205,,,29.8079
213,,,21.8094
206,,,19.9737
214,,,23.5246
207,,,28.8325
215,,,27.5143
208,,,24.5586
216,,,23.2290
209,,,21.6471
217,,,23.2768
210,,,21.1913
218,,,26.7382
211,,,27.7123
219,,,24.3665
212,,,19.3675
213,,,17.5841
220,,,26.4540
214,,,26.4097
221,,,28.0892
215,,,29.3077
222,,,28.5615
216,,,22.9181
223,,,26.3905
217,,,26.6914
224,,,24.4827
218,,,21.5092
225,,,23.8912
219,,,23.1260
226,,,21.8228
220,,,24.9341
227,,,20.8490
221,,,21.1793
228,,,20.1852
222,,,25.9225
229,,,28.0702
223,,,28.5298
230,,,27.2538
224,,,29.8324
231,,,28.1939
232,,,28.7806
225,,,29.6963
233,,,28.5249
226,,,32.5678
234,,,25.4740
227,,,28.9657
235,,,25.7205
228,,,29.4347
236,,,18.2644
229,,,21.1857
237,,,28.3376
230,,,30.9235
238,,,28.3208
231,,,29.0305
239,,,28.3100
232,,,29.3393
240,,,28.9173
233,,,28.9483
241,,,26.0280
234,,,29.2732
242,,,28.5405
235,,,29.9496
243,,,26.4614
236,,,28.5638
244,,,27.1884
245,,,25.5301
237,,,29.8805
246,,,28.1787
238,,,29.1774
247,,,27.6898
239,,,29.0205
248,,,28.4675
240,,,28.8196
249,,,28.4906
241,,,29.3361
250,,,28.7674
242,,,29.0641
251,,,26.8481
243,,,28.5345
252,,,27.8871
244,,,26.7310
253,,,28.2567
245,,,30.0576
254,,,28.3836
246,,,26.2801
255,,,24.7510
247,,,31.0694
256,,,28.2037
248,,,29.2986
257,,,28.0889
249,,,20.2963
258,,,28.5083
250,,,25.1995
259,,,24.5789
251,,,24.5862
252,,,17.7722
260,,,27.2445
253,,,29.7990
261,,,28.5039
254,,,23.4797
262,,,27.9435
255,,,29.1114
263,,,28.6187
256,,,28.7600
264,,,28.1638
257,,,28.0666
265,,,25.6146
258,,,21.5123
266,,,26.3447
259,,,28.5104
267,,,26.8528
260,,,26.6365
268,,,23.3983
261,,,28.9897
269,,,28.5939
262,,,28.7927
270,,,26.0266
263,,,29.5085
271,,,28.3201
272,,,28.8372
264,,,31.0557
273,,,26.1843
265,,,28.9674
274,,,19.5221
266,,,25.9293
275,,,17.9280
267,,,16.5789
276,,,26.5488
268,,,28.7682
277,,,24.9130
269,,,22.1686
278,,,24.6232
270,,,27.1266
279,,,23.2441
271,,,28.7194
280,,,26.0994
272,,,20.1521
round,test_acc_pct,test_loss,round_time_s
1,,,27.8965
round,test_acc_pct,test_loss,round_time_s
1,,,24.0886
2,,,29.5221
2,,,29.0977
3,,,28.4157
3,,,30.4368
4,,,25.6258
4,,,28.4167
5,,,27.3960
5,,,30.9604
6,,,28.4081
6,,,28.4549
7,,,28.2430
7,,,28.7338
8,,,28.2295
8,,,29.2154
9,,,28.1789
9,,,29.5192
10,,,25.4397
10,,,28.9655
11,,,20.6630
11,,,26.7649
12,,,28.4618
12,,,20.0017
13,,,25.1824
13,,,29.0471
14,,,28.8496
14,,,29.4727
15,,,28.3935
15,,,29.8150
16,,,28.7442
16,,,29.3245
17,,,28.6974
17,,,27.1319
18,,,28.4022
18,,,19.3108
19,,,27.9210
19,,,19.9945
20,,,28.2855
20,,,26.0543
21,,,23.8827
21,,,26.6806
22,,,15.5219
22,,,30.0480
23,,,28.4134
23,,,26.7217
24,,,27.9852
24,,,31.2423
25,,,25.1562
26,,,22.2931
25,,,25.1939
27,,,24.4763
26,,,28.5398
28,,,24.6727
29,,,26.3249
round,test_acc_pct,test_loss,round_time_s
1,,,25.3446
